mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.878524827957153,0.09735038683573041,0.03627667427062988,0.0033310590140794858,1.0,0.05,7,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.8426198769341398,0.8703682720735819,0.8677254659823962,0.8836831982983888,0.8785045823674937,0.8685802791312,0.014173637984731058,31,0.9979170757784239,0.9984374951865345,0.9973962331500881,0.9984374948602659,0.9984374970986004,0.9981251592147826,0.0004164838994811973
5.982994079589844,0.14132168749904978,0.04824862480163574,0.0031996484889263207,1.0,0.05,7,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.8644243863241358,0.8706239035672714,0.8677703406992674,0.8735346354576109,0.8721972032988925,0.8697100938694357,0.0032664729128909606,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6.081580972671508,0.24772424634521387,0.04285755157470703,0.0012193937058750776,1.0,0.05,7,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.8398952846303105,0.8598162859150131,0.8737704022204422,0.8734132772122964,0.8742428052772879,0.86422761105107,0.013321166165310124,46,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0182234287261962,0.03558521269761572,0.029101085662841798,0.002758423711780809,1.0,0.1,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.8544287897066398,0.8622937828827422,0.876531616691581,0.8734834782090974,0.8763318506238633,0.8686139036227847,0.008799216167200707,30,0.9541931259705,0.95992551222238,0.9568457410149906,0.9562520795999577,0.9536932938550878,0.9561819505325833,0.0022184961218414357
0.8952852725982666,0.019866920268627488,0.027390050888061523,0.0016302705637019537,1.0,0.1,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.8561927596572441,0.8596348002326059,0.8680019777108022,0.8755108215783929,0.8757814892504235,0.8670243696858936,0.008019878287845122,38,0.9520795692520798,0.9578455175861859,0.9537101143643424,0.9505210223824778,0.953749458181558,0.9535811363533288,0.002443313984672356
1.8466766834259034,0.030524458190341122,0.03494462966918945,0.0015961872886581887,1.0,0.1,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.8604366969534145,0.8638798787430432,0.8741883788254756,0.8654227970274174,0.874091779365377,0.8676039061829455,0.005575702360651777,36,0.9895874638702903,0.9885462082670026,0.9921989822048677,0.988025771830683,0.9895882746911474,0.9895893401727982,0.0014382702336250873
1.6370369911193847,0.05508360980549434,0.031847476959228516,0.00031031073386237994,1.0,0.1,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.8561346261724917,0.8640626280003277,0.8699620982604963,0.8589750943645025,0.880385943123142,0.865904077984192,0.008637544641989018,43,0.9859436706694343,0.9859312192973374,0.9875115357597888,0.9854108436105637,0.9828149682875036,0.9855224475249257,0.0015260337191709637
1.9472774505615233,0.04801471793160234,0.030072402954101563,0.0015086352533979074,1.0,0.1,5,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8545139534255853,0.866647252206777,0.875937762635047,0.8671800807217475,0.8826096346677398,0.8693777367313793,0.009500887902637466,24,0.9979158358930796,0.9994791650621782,0.9989583333333333,0.9953129187533205,0.997916669229785,0.9979165844543392,0.0014356862145379662
1.844859790802002,0.06281125953429917,0.03064875602722168,0.0019488257208946315,1.0,0.1,5,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.8544287897066398,0.8679267597148166,0.8545960770719341,0.8633029237962108,0.8720250132372109,0.8624559127053624,0.0070487871240182635,47,0.9963537526212323,0.9994791650621782,0.9963549698573462,0.994272489574332,0.9968750047387803,0.9966670763707738,0.0016661755722606297
3.47203688621521,0.101694664717414,0.037445068359375,0.0015122237071861153,1.0,0.1,5,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.8584622817998532,0.870428800143768,0.8700723419900714,0.8694229040648023,0.8784512782612252,0.8693675212519439,0.0063728336134907596,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.3910096168518065,0.13628885348118905,0.047413206100463866,0.012290517084149421,1.0,0.1,5,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.8523829669872195,0.8719437629700378,0.8504169029381112,0.8719496580463562,0.8655171211415976,0.8624420824166645,0.009337264434156457,48,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.146690845489502,0.053028097992731255,0.032802772521972653,0.0008993951174114886,1.0,0.1,7,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.8626904216907839,0.8706449932305809,0.8805333935940943,0.8837127244958258,0.8723739109682792,0.8739910887959128,0.007467645538368814,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.101101112365723,0.11502483447468345,0.03475031852722168,0.0019245291523637051,1.0,0.1,7,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.8462600020894203,0.8681984721880888,0.8717283040954327,0.8753842676311031,0.8743678555779887,0.8671877803164068,0.010754958306076975,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.651201868057251,0.13015530121071373,0.04284958839416504,0.004263811156255032,1.0,0.1,7,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.8587277156817915,0.8746065095704211,0.8782066940449967,0.8778799456038534,0.8765523240668379,0.8731946377935801,0.0073434609218922696,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.079141616821289,0.5601980082021769,0.029931306838989258,0.008674310599576313,1.0,0.1,7,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.8480368125808572,0.8723761803499712,0.8669828542487276,0.8839035371970305,0.8744167667287066,0.8691432302210587,0.011885090708975588,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
