mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7412080764770508,0.043740534269597064,0.009985065460205078,0.006359741934659849,tanh,0.0001,"(32,)",0.0005,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.0005}",0.8309181221233496,0.872392139925243,0.807487521529755,0.8357232349862277,0.8158243398495166,0.8324690716828183,0.022396300351098686,31,0.8591895079227158,0.8696591829991553,0.8600988343502798,0.8485317342318329,0.8363765242557122,0.8547711567519393,0.011374112706084988
0.39894967079162597,0.1068481045392744,0.006756258010864258,0.0005766002657200979,tanh,0.0001,"(64,)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.8231881621715789,0.8612791259016414,0.8361079943247376,0.8649811456996149,0.8592114179167131,0.8489535692028571,0.01638835568303021,14,0.865132730987223,0.8758103601355722,0.8756681188827516,0.8677217570612582,0.8882037649918402,0.874507346411729,0.008056857409762582
0.7538965702056885,0.09136620725780542,0.008281183242797852,0.0019618084721423888,tanh,0.0001,"(64,)",0.0005,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.8205521011936028,0.8634816426527815,0.8319055422151752,0.8674808537733004,0.8436240063910891,0.84540882924519,0.017984338374825895,19,0.8673041988307341,0.8827755843019663,0.8729213362759087,0.8683485647969559,0.8753500558554996,0.8733399480122129,0.005560416820764402
0.5679275035858155,0.04772980600111206,0.007967042922973632,0.0007528801113521857,tanh,0.0001,"(64, 32)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.001}",0.8350177543820447,0.8727179461742972,0.8373884869503304,0.8587411953945348,0.8465132993103085,0.8500757364423033,0.014058164333357742,11,0.8840951647386821,0.8918171462050813,0.8964766420103655,0.8896025879892735,0.8901696142650486,0.8904322310416903,0.003984183190129448
0.9746439933776856,0.3348749748310392,0.008429956436157227,0.0012915683427986667,tanh,0.0001,"(64, 32)",0.0005,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'learning_rate_init': 0.0005}",0.8394496117806415,0.8503548408220276,0.8306116197064488,0.8561300808786257,0.8413636962747632,0.8435819698925014,0.008871910451585478,21,0.8889203064347603,0.8630500722805098,0.89097949535507,0.859276313884562,0.8776822710609004,0.8759816918031605,0.012973282272889703
1.0488644123077393,0.4172186081617218,0.010711240768432616,0.0023917075306713544,tanh,0.0001,"(128, 64)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.8323841662066018,0.885241835269269,0.8371184702385289,0.8810161753488581,0.8515283790283791,0.8574578052183275,0.021929355415659327,1,0.901225620226679,0.9016577344395446,0.9269598942362022,0.9041666666666667,0.8838012705781654,0.9035622372294515,0.01376516183150618
0.8494922161102295,0.2840514553274464,0.010808753967285156,0.002375104500475754,tanh,0.0001,"(128, 64)",0.0005,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.8179152647174063,0.876298522674855,0.8193335129018268,0.8749890810621943,0.8484154516840555,0.8473903666080675,0.025512310743926896,16,0.867728456439394,0.8796698202159575,0.8718219257730896,0.8890632309501204,0.8665109281061573,0.8749588722969438,0.008421556522761931
0.36541056632995605,0.10520107936329205,0.007284307479858398,0.0009537637382545526,tanh,0.001,"(32,)",0.001,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.001}",0.8328501103268214,0.8703920730797562,0.8079106067598271,0.861795168566002,0.8084268576572681,0.8362749632779349,0.026103798130760632,29,0.8591895079227158,0.869744712122939,0.861375677368919,0.8768252171996757,0.8350917886062513,0.8604453806441003,0.014142304685240581
0.49407162666320803,0.06930230019261434,0.006785297393798828,0.0010205743212914134,tanh,0.001,"(32,)",0.0005,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (32,), 'learning_rate_init': 0.0005}",0.8309181221233496,0.872392139925243,0.807487521529755,0.8357232349862277,0.8158243398495166,0.8324690716828183,0.022396300351098686,31,0.8591895079227158,0.8696591829991553,0.8600988343502798,0.8485317342318329,0.8363765242557122,0.8547711567519393,0.011374112706084988
0.37518844604492185,0.09903984740295237,0.006529664993286133,0.00032376216315955326,tanh,0.001,"(64,)",0.001,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.8231881621715789,0.8612791259016414,0.8361079943247376,0.8649811456996149,0.8592114179167131,0.8489535692028571,0.01638835568303021,14,0.865132730987223,0.8758103601355722,0.8756681188827516,0.8677217570612582,0.8882037649918402,0.874507346411729,0.008056857409762582
