mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.08834071159362793,0.02851023132039301,0.005023813247680664,0.00037127664927757975,0.01,balanced,l1,saga,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.8284889712453143,0.8454216965430164,0.8216564675775843,0.8462546190738265,0.8155284208545078,0.8314700350588499,0.012430291181420344,29,0.8400862718082323,0.8311234639858573,0.8416040269308944,0.8340029910166542,0.8401042890788136,0.8373842085640903,0.0040776563270511395
0.046003293991088864,0.0162912968239177,0.014929533004760742,0.01430096705070136,0.01,balanced,l2,saga,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.8363366644994754,0.8728078932080392,0.8409108407514158,0.8676467021242295,0.8550376613734755,0.8545479523913271,0.01430289703970174,25,0.8690564076478042,0.8648043525886334,0.8746743587966208,0.8651025862462386,0.8671023024817157,0.8681480015522027,0.0036046239703938746
0.4530818939208984,0.047180858746933806,0.004673957824707031,0.00037593265158397167,0.1,,l1,saga,"{'C': 0.1, 'class_weight': None, 'penalty': 'l1', 'solver': 'saga'}",0.8656183072744115,0.8941086523833539,0.8572735433517393,0.8884187606804411,0.8798982832604053,0.8770635093900703,0.013785136790699336,2,0.8924718459822183,0.878430674646278,0.8920765644512173,0.8824939892951338,0.8846373362633487,0.8860220821276391,0.005481799662115848
0.08684277534484863,0.006906000390570819,0.004801464080810547,0.0004005246044559341,0.1,,l2,saga,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.8491207224387817,0.8878185218424497,0.8444986559281072,0.8792257069466956,0.8656801785588353,0.8652687571429739,0.0167069670059551,21,0.8836121992666374,0.875392585190337,0.8877161309872207,0.8769686710212152,0.8778040852380772,0.8802987343406976,0.0046342144570538715
0.4702098846435547,0.026916917661348898,0.0046555519104003905,0.00033880299855508,0.1,balanced,l1,saga,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.8656183072744115,0.8962720615525863,0.8572735433517393,0.8844473966464614,0.8779162019415184,0.8763055021533435,0.013740304830639035,9,0.8925625381129175,0.877437894384452,0.8921603591637167,0.8820009454441637,0.8852258600599489,0.8858775194330397,0.0058453965925710375
0.09041948318481445,0.008377431338251418,0.007474327087402343,0.0023608290944331176,0.1,balanced,l2,saga,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.8432396964499816,0.8878185218424497,0.8444986559281072,0.8814249932383695,0.8656801785588353,0.8645324092035487,0.018350208164515092,24,0.8831578813575158,0.8755370801436574,0.8877635071944091,0.8769686710212152,0.8783522137657802,0.8803558706965156,0.004504061441810877
1.6300376892089843,0.19565941291224292,0.008514833450317384,0.0060813770739265366,1.0,,l1,saga,"{'C': 1, 'class_weight': None, 'penalty': 'l1', 'solver': 'saga'}",0.8591774380287999,0.8899891229606364,0.8676720986725609,0.8895734636535451,0.8764267751059006,0.8765677796842886,0.012090138764281456,6,0.894336834157873,0.8885236297221591,0.8975130452336335,0.884848454029463,0.8847508048415518,0.889994553596936,0.00512885905000927
0.2770254135131836,0.03640532755935271,0.005174684524536133,0.0009338691508874944,1.0,,l2,saga,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'solver': 'saga'}",0.8609302776346717,0.8897936996963355,0.8550562148519649,0.8768250202445586,0.8762493987493988,0.8717709222353859,0.012388076398312875,18,0.8942940699907955,0.8844316784468662,0.893352525062084,0.882361832556018,0.8836744137174054,0.8876229039546338,0.005114418480594332
1.6501123905181885,0.12606709305710542,0.005188512802124024,0.0004407258951136193,1.0,balanced,l1,saga,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.8591774380287999,0.8921584327141997,0.8676720986725609,0.8895734636535451,0.8764267751059006,0.8770016416350013,0.012592474755138765,3,0.894336834157873,0.8885665695850249,0.8965127266086234,0.8838527646131773,0.8842569366729223,0.8895051663275242,0.005154133071795708
0.28279762268066405,0.032698563903385144,0.004885292053222657,0.00035615683967325643,1.0,balanced,l2,saga,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'saga'}",0.8609302776346717,0.8897936996963355,0.8550562148519649,0.8768250202445586,0.8762493987493988,0.8717709222353859,0.012388076398312875,18,0.8943402618227511,0.8839383952282702,0.8934410209704463,0.8834481892286694,0.8831802610222302,0.8876696256544735,0.005093199221992656
