mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.03350796699523926,0.004723886642996171,0.007431173324584961,0.0003380430618261516,gini,10,8,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.8228337167679768,0.8332873527916631,0.8024524524524524,0.8317447882044252,0.859856936085232,0.8300350492603499,0.01852298278164452,51,0.9106760606760607,0.9149277980028152,0.9201160746615162,0.9200640138668439,0.9162920421683298,0.916415197875113,0.003526345661656568
0.03136086463928223,0.00440435119776086,0.009380149841308593,0.00302603669458596,gini,10,8,20,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 20}",0.8188197267507445,0.8290629118739173,0.7988727407184101,0.8397865853658537,0.8556631855699379,0.8284410300557727,0.019167719346612835,59,0.9048078691312279,0.9082991694934125,0.9181739847088604,0.9124029278295214,0.9088350288022833,0.9105037959930611,0.004528294191493161
0.03468618392944336,0.0023768402602857854,0.008327913284301759,0.002458021777957954,gini,15,1,2,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7864806205754176,0.8059918986632382,0.8094401151684363,0.7954051312434506,0.8388272618303106,0.8072290054961707,0.017749189963605458,150,1.0,0.9979167022160034,0.9963590859371565,0.9979166717929033,1.0,0.9984384919892125,0.0013960734185232506
0.04202737808227539,0.008247865812336152,0.007346582412719726,0.0005971964309222695,gini,15,1,5,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7892587306190261,0.8039783440191014,0.8136531369379959,0.7913893704377329,0.8363403702103794,0.8069239904448471,0.01716197813412535,151,0.9843624789637195,0.9786016768389703,0.9812697147564206,0.9853822376856306,0.9869565401183195,0.9833145296726121,0.0030010033023480796
0.03418984413146973,0.0031788416748472835,0.007386589050292968,0.000809149743798434,gini,15,1,10,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7888751143186796,0.8109766551068791,0.8097955365116257,0.7930696155870931,0.844217663895325,0.8093869170839205,0.01950827281476766,147,0.9587514769078177,0.9582088706880337,0.9624259758984065,0.9639408270855931,0.9550792738742544,0.9596812848908212,0.003158736465822742
0.03254384994506836,0.00323806184166569,0.0072077751159667965,0.0016067237565360925,gini,15,1,20,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8119590818974497,0.8096061699479139,0.8109780266661569,0.812008955865717,0.8592384226702089,0.8207581314094892,0.01925991097462237,110,0.9338406345676776,0.9320141048736174,0.9450972147375544,0.9376011457645461,0.933347278169333,0.9363800756225457,0.0047368311873225875
0.031359291076660155,0.0017587199818877067,0.00803680419921875,0.001986171065740334,gini,15,2,2,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7939833213930254,0.8193562763923193,0.8221316301792536,0.7875656449297261,0.8375364693344135,0.8121146684457475,0.018603487146133555,142,0.9769334878314102,0.9732211873850987,0.9759721615854191,0.9726635596143308,0.9748209325855993,0.9747222658003716,0.0016095331650996256
0.03611989021301269,0.005528457432502213,0.008159399032592773,0.0010367487097359637,gini,15,2,5,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7968540873427945,0.8125259605399792,0.8136770129297678,0.7912167377732621,0.8142736711184319,0.805709493940847,0.009713381633755217,152,0.9738046692303939,0.9700908377864484,0.9717630903141955,0.9678649826587462,0.9732795550651875,0.9713606270109942,0.0021748332382036852
0.03335018157958984,0.003466155058255651,0.006822967529296875,0.00024529203275897417,gini,15,2,10,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7842849059376837,0.8157236467236466,0.8094361592712312,0.775685606060606,0.8370764442634351,0.8044413524513205,0.022138034074167146,158,0.9487272664341394,0.9504428375353237,0.9492691392647991,0.9512208291274149,0.945490309630467,0.9490300763984287,0.001973529085146578
0.03320865631103516,0.004128153626971697,0.0067920684814453125,0.0004208928988644378,gini,15,2,20,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.8088337548664299,0.8036123360908966,0.8028676579226607,0.8017030292221518,0.8522860985852799,0.8138605753374838,0.019367324696023272,125,0.9264992501402239,0.9194990002561518,0.9384270627384133,0.9285771736286197,0.9222340957287354,0.9270473164984289,0.006515882692766384
0.02986006736755371,0.0005856457681886924,0.006841039657592774,0.0005465314930278962,gini,15,4,2,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8006006514943319,0.8190691823008682,0.8005658738687593,0.8033039507397305,0.8430589293975924,0.8133197175602564,0.016384308474934942,130,0.9440088590211525,0.949223627854652,0.9429089269953683,0.949206079017284,0.9449960141160688,0.946068701400905,0.0026523379185415656
